id,type,subtype,class_grouped,n_obs_I,I_median,I_mean,V_minus_I,log_period,I_amp,log_period2,period_ratio,has_period2,I_p95_p5,I_mad,I_kurtosis
LMC562.06.29,LPV,SRV,LPV,340,14.573,14.608,1.9540000000000006,2.6875289612146345,0.153,1.6879746200345556,0.10010266940451745,1,0.17304999999999993,0.024500000000000632,0.39331948916400306
LMC563.05.3769,ECL,,BINARY,335,20.328,20.304,0.517000000000003,0.5936758707511619,0.42,,,0,0.7250000000000014,0.12599999999999767,2.6564391324332624
LMC562.31.15276,OTHER,,OTHER,340,20.4865,20.448,0.33999999999999986,-1.253050701662317,0.42,,,0,0.8002999999999965,0.1609999999999996,0.010831202733101453
LMC562.14.11,LPV,OSARG,LPV,341,14.441,14.434,1.5969999999999995,2.550228353055094,0.073,1.912753303671323,0.2304225352112676,1,0.09299999999999997,0.026999999999999247,-1.1614140750188062
LMC563.13.7553,LPV,OSARG,LPV,333,14.948,14.949,1.6659999999999986,1.335878952134842,0.015,1.6296134453781832,1.966683586359651,1,0.038399999999999324,0.006999999999999673,5.874486666554933
LMC562.31.9270,LPV,OSARG,LPV,345,15.378,15.379,1.4390000000000018,2.4785664955938436,0.021,1.4250448745513888,0.08840531561461794,1,0.03200000000000003,0.006999999999999673,-0.356378225835289
LMC563.22.7311,OTHER,Spots,OTHER,334,16.609,16.614,1.1069999999999993,1.9142902556659491,0.068,,,0,0.08800000000000097,0.02000000000000135,-0.30629480317176583
LMC563.13.27,LPV,SRV,LPV,333,14.593,14.592,1.4589999999999979,1.79155030502733,0.04,2.4668676203541096,4.7349709114415,1,0.08579999999999899,0.021000000000000796,-0.8554677413696967
LMC562.14.19081,DSCT,,PULS,339,20.294,20.241,0.3620000000000019,-1.188128193633016,0.366,,,0,0.6685000000000016,0.134999999999998,-0.15976153336499177
LMC562.31.9590,OTHER,,OTHER,344,18.0865,18.084,-0.019999999999999574,0.6731038854080207,0.096,,,0,0.1305499999999995,0.027499999999999858,-0.29734607037716776
LMC563.05.8759,ECL,,BINARY,331,18.282,18.274,-0.07000000000000028,-0.126576505256044,0.172,,,0,0.19200000000000017,0.03999999999999915,-0.29733075266530307
LMC563.05.650,OTHER,,OTHER,326,17.988,17.986,1.0449999999999982,1.5922878159521308,0.082,,,0,0.12199999999999989,0.0259999999999998,-0.31679048995200576
LMC562.06.169,ECL,,BINARY,258,16.719,16.725,,0.2819578164386469,0.089,,,0,0.09730000000000061,0.019000000000001904,-0.4560417917133228
LMC563.05.9207,RRLYR,RRab,PULS,316,18.652,18.61,0.5210000000000008,-0.25818650817940664,0.663,,,0,0.5569999999999986,0.14499999999999957,-0.07184358329358709
LMC562.06.172,OTHER,,OTHER,244,16.722,16.722,,-0.07960375946115811,0.038,,,0,0.05384999999999707,0.012999999999998124,-0.6385293574687969
LMC563.05.844,OTHER,,OTHER,300,18.659,18.648,-0.018000000000000682,0.19534605834841964,0.106,,,0,0.16410000000000124,0.036000000000001364,0.018767597357140176
LMC562.23.12741,OTHER,,OTHER,341,18.728,18.727,-0.04899999999999949,0.31310125939967715,0.132,,,0,0.21399999999999864,0.043000000000002814,0.25558811823887595
LMC562.23.206,OTHER,,OTHER,321,17.13,17.129,-0.05000000000000071,1.000321259065409,0.069,,,0,0.08900000000000219,0.021999999999998465,-0.3130971046069426
LMC562.06.10086,LPV,OSARG,LPV,276,14.538,14.549,1.644000000000002,2.4727564493172123,0.136,1.524396122103842,0.11262626262626263,1,0.15625,0.02400000000000091,-0.05761264857356574
LMC562.14.10732,ELL,,BINARY,334,17.016,17.017,-0.06499999999999773,1.0398184791578287,0.1,,,0,0.10200000000000031,0.028000000000002245,-1.0222239822653356
LMC562.31.15076,OTHER,,OTHER,343,20.701,20.664,0.5309999999999988,-0.6917686376451068,0.275,,,0,0.7847000000000008,0.15399999999999991,0.16518701434789218
LMC562.06.11342,RRLYR,RRab,PULS,232,18.6475,18.633,0.6969999999999992,-0.21245805862804298,0.356,,,0,0.38289999999999935,0.09149999999999991,-0.9114765634006705
LMC563.30.316,OTHER,,OTHER,233,17.881,17.879,1.1149999999999984,1.6725596277632757,0.084,,,0,0.12280000000000157,0.030000000000001137,0.21523803338098046
